type,title,tmdb_id,tmdb_title,tmdb_year,exact,sources,lists,first_watched,last_watched
movie,American Fiction,1056360,American Fiction,2023,yes,prime,watched,2024-03-24,2024-03-24
show,Mr. & Mrs. Smith,118642,Mr. & Mrs. Smith,2024,yes,prime,watched,2024-03-24,2024-03-24
movie,Road House,359410,Road House,2024,yes,prime,watched,2024-03-24,2024-03-24
show,Turning Point: The Bomb and the Cold War,245926,Turning Point: The Bomb and the Cold War,2024,yes,netflix,watched,2024-03-15,2024-03-15
show,Little Nicholas: Life of a Scoundrel,245015,Little Nicholas: Life of a Scoundrel,2024,yes,netflix,watched,2024-03-11,2024-03-11
movie,Murder Mystery 2,638974,Murder Mystery 2,2023,yes,netflix,watched,2024-03-11,2024-03-11
movie,Pain Hustlers,862968,Pain Hustlers,2023,yes,netflix,watched,2024-03-11,2024-03-11
movie,Spaceman,636706,Spaceman,2024,yes,netflix,watched,2024-03-09,2024-03-09
movie,You Are Not Alone: Fighting the Wolf Pack,1238400,You Are Not Alone: Fighting the Wolf Pack,2024,yes,netflix,watched,2024-03-08,2024-03-08
movie,La La Land,313369,La La Land,2016,yes,prime,watched,2024-03-03,2024-03-03
movie,Spanish Affair,236737,Spanish Affair,2014,yes,prime,watched,2024-03-03,2024-03-03
movie,The Netflix Slam,1245423,The Netflix Slam,2024,yes,netflix,watched,2024-03-03,2024-03-03
movie,Society of the Snow,906126,Society of the Snow,2023,yes,netflix,watched,2024-03-01,2024-03-01
show,Crisis in Six Scenes,67443,Crisis in Six Scenes,2016,yes,prime,watched,2024-02-27,2024-02-27
movie,Babylon,615777,Babylon,2022,yes,prime,watched,2024-02-25,2024-02-25
movie,Miss Americana,653567,Miss Americana,2020,yes,netflix,watched,2024-02-25,2024-02-25
show,Sex Education,81356,Sex Education,2019,yes,netflix,watched,2024-02-23,2024-02-23
show,American Nightmare,242845,American Nightmare,2024,yes,netflix,watched,2024-02-10,2024-02-10
show,Alexander: The Making of a God,242392,Alexander: The Making of a God,2024,yes,netflix,watched,2024-02-04,2024-02-04
movie,NYAD,895549,NYAD,2023,yes,netflix,watched,2024-02-04,2024-02-04
movie,Maestro,523607,Maestro,2023,yes,netflix,watched,2024-01-27,2024-01-27
show,Berlin and the Jewels of Paris,146176,Berlin,2023,no,netflix,watched,2024-01-07,2024-01-07
show,The Chosen,85077,The Chosen,2019,yes,netflix,watched,2024-01-07,2024-01-07
movie,Foo Fighters: Back and Forth,61488,Foo Fighters: Back and Forth,2011,yes,prime,watched,2024-01-04,2024-01-04
movie,Saltburn,930564,Saltburn,2023,yes,prime,watched,2024-01-01,2024-01-01
show,Dead Ringers,4449,Dead Ringers,2002,yes,prime,watched;watchlist,2023-12-15,2023-12-15
movie,Bottoms,814776,Bottoms,2023,yes,prime,watched,2023-11-28,2023-11-28
show,Gil Family: At home with the Gils,201477,Gil Family,2022,no,prime,watched,2023-11-05,2023-11-05
movie,The Boy Who Killed My Parents,800305,The Boy Who Killed My Parents,2021,yes,prime,watched,2023-11-05,2023-11-05
movie,The Girl Who Killed Her Parents - The Confession,1135408,The Girl Who Killed Her Parents: The Confession,2023,yes,prime,watched,2023-11-05,2023-11-05
movie,The Girl Who Killed Her Parents,608804,The Girl Who Killed Her Parents,2021,yes,prime,watched;watchlist,2023-11-04,2023-11-04
show,New Bandits,137883,Cangaço Novo,2023,no,prime,watched;watchlist,2023-09-17,2023-09-17
movie,Mean Girls,10625,Mean Girls,2004,yes,max;prime,my_list;watched,2023-08-12,2023-08-12
movie,Air,964980,Air,2023,yes,prime,watched,2023-07-21,2023-07-21
show,The Marvelous Mrs. Maisel,70796,The Marvelous Mrs. Maisel,2017,yes,prime,watched,2023-06-11,2023-06-11
show,Daisy Jones & the Six,95555,Daisy Jones & the Six,2023,yes,prime,watched,2023-05-26,2023-05-26
movie,Queenpins,628914,Queenpins,2021,yes,prime,watched,2023-03-13,2023-03-13
movie,No Time to Die,370172,No Time to Die,2021,yes,prime,watched,2023-02-25,2023-02-25
movie,Top Gun: Maverick,361743,Top Gun: Maverick,2022,yes,prime,watched,2023-02-25,2023-02-25
movie,Santoalla,404831,Santoalla,2016,yes,prime,watched,2022-12-24,2022-12-24
show,The Recruit,210916,The Recruit,2022,yes,netflix,watched,2022-12-21,2022-12-21
show,This is Us,67136,This Is Us,2016,yes,prime,watched;watchlist,2022-09-16,2022-09-16
show,The Boys,76479,The Boys,2019,yes,prime,watched;watchlist,2022-07-19,2022-07-19
movie,Sound Of Metal,502033,Sound of Metal,2020,yes,prime,watched;watchlist,2022-05-19,2022-05-19
movie,Murder Mystery,514999,Murder Mystery,2019,yes,netflix,watched,2022-03-14,2022-03-14
show,PIECES OF HER,99002,PIECES OF HER,2022,yes,netflix,watched,2022-03-14,2022-03-14
movie,The Adam Project,696806,The Adam Project,2022,yes,netflix,watched,2022-03-14,2022-03-14
show,Modern Love,91602,Modern Love,2019,yes,prime,watched;watchlist,2022-01-31,2022-01-31
movie,Spider-Man: Far from Home,429617,Spider-Man: Far From Home,2019,yes,prime,watched,2022-01-20,2022-01-20
movie,El amor y otras cosas imposibles,52505,The Other Woman,2010,no,prime,watched,2021-11-11,2021-11-11
show,Soulmates,100771,Soulmates,2020,yes,prime,watched,2021-10-27,2021-10-27
movie,Midsommar,530385,Midsommar,2019,yes,prime,watched,2021-05-30,2021-05-30
movie,Coming 2 America,484718,Coming 2 America,2021,yes,prime,watched,2021-04-28,2021-04-28
movie,Coming to America,9602,Coming to America,1988,yes,prime,watched,2021-04-11,2021-04-11
movie,Dark Waters,552178,Dark Waters,2019,yes,prime,watched,2021-03-20,2021-03-20
movie,YES DAY,638597,YES DAY,2021,yes,netflix,watched,2021-03-16,2021-03-16
show,Vikings,44217,Vikings,2013,yes,netflix,watched,2021-03-15,2021-03-15
movie,The Boy Who Harnessed the Wind,491480,The Boy Who Harnessed the Wind,2019,yes,netflix,watched,2021-01-05,2021-01-05
movie,The Midnight Sky,614911,The Midnight Sky,2020,yes,netflix,watched,2021-01-01,2021-01-01
movie,Bombshell,525661,Bombshell,2019,yes,prime,watched,2020-12-13,2020-12-13
movie,Borat Subsequent Moviefilm,740985,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020,no,prime,watched,2020-11-15,2020-11-15
movie,BlacKkKlansman,487558,BlacKkKlansman,2018,yes,prime,watched,2020-09-09,2020-09-09
movie,Knives Out,546554,Knives Out,2019,yes,prime,watched;watchlist,2020-08-09,2020-08-09
show,Upload,86248,Upload,2020,yes,prime,watched,2020-07-27,2020-07-27
movie,Kaiser,819657,Emperor,2019,no,prime,watched,2020-07-26,2020-07-26
movie,Lion,334543,Lion,2016,yes,prime,watched,2020-06-28,2020-06-28
show,Little Fires Everywhere,90257,Little Fires Everywhere,2020,yes,prime,watched,2020-06-08,2020-06-08
movie,Booksmart,505600,Booksmart,2019,yes,prime,watched,2020-04-24,2020-04-24
show,Mozart in the Jungle,61744,Mozart in the Jungle,2014,yes,prime,watched,2020-04-14,2020-04-14
show,The Romanoffs,73607,The Romanoffs,2018,yes,prime,watched,2020-04-07,2020-04-07
movie,Shrek,808,Shrek,2001,yes,prime,watched,2020-03-29,2020-03-29
movie,Chiara Ferragni Unposted,618253,Chiara Ferragni: Unposted,2019,yes,prime,watched,2020-01-11,2020-01-11
show,The Good Fight,69158,The Good Fight,2017,yes,prime,watched,2019-11-18,2019-11-18
movie,Pitch Perfect 3,353616,Pitch Perfect 3,2017,yes,prime,watched,2019-11-01,2019-11-01
show,Fleabag,67070,Fleabag,2016,yes,prime,watched,2019-09-28,2019-09-28
show,El Corazón de Sergio Ramos,92878,Sergio Ramos,2019,no,prime,watched,2019-09-21,2019-09-21
movie,2001: A Space Odyssey,62,2001: A Space Odyssey,1968,yes,max,my_list,,
movie,300,1271,300,2007,yes,max,my_list,,
movie,A Clockwork Orange,185,A Clockwork Orange,1971,yes,max,my_list,,
show,A Knight of the Seven Kingdoms,224372,A Knight of the Seven Kingdoms,2026,yes,max,continue_watching,,
movie,A Quiet Place,447332,A Quiet Place,2018,yes,max,my_list,,
movie,A Real Pain,1013850,A Real Pain,2024,yes,max,my_list,,
movie,Aftersun,965150,Aftersun,2022,yes,prime,watchlist,,
movie,Am I Ok?,641934,Am I OK?,2024,yes,max,my_list,,
movie,Ammonite,568467,Ammonite,2020,yes,prime,watchlist,,
movie,Another Round,580175,Another Round,2020,yes,max,my_list,,
movie,Barbie,346698,Barbie,2023,yes,max,my_list,,
movie,Beau Is Afraid,798286,Beau Is Afraid,2023,yes,prime,watchlist,,
movie,Beetlejuice Beetlejuice,917496,Beetlejuice Beetlejuice,2024,yes,max,my_list,,
show,Big Little Lies,66292,Big Little Lies,2017,yes,max,my_list,,
show,Broadchurch,1427,Broadchurch,2013,yes,prime,watchlist,,
movie,Casablanca,289,Casablanca,1943,yes,max,my_list,,
movie,Catch Me If You Can,640,Catch Me If You Can,2002,yes,max,my_list,,
movie,Charlie and the Chocolate Factory,118,Charlie and the Chocolate Factory,2005,yes,max,my_list,,
show,Chernobyl,87108,Chernobyl,2019,yes,max,my_list,,
movie,Cinderella,150689,Cinderella,2015,yes,prime,watchlist,,
movie,"Crazy, Stupid, Love.",50646,"Crazy, Stupid, Love.",2011,yes,max,my_list,,
movie,Dune,438631,Dune,2021,yes,max,my_list,,
movie,Dune: Part Two,693134,Dune: Part Two,2024,yes,max,my_list,,
movie,Eiffel,655082,Eiffel,2021,yes,prime,watchlist,,
movie,El Bulli: Cooking in progress,82688,El Bulli: Cooking in Progress,2011,yes,prime,watchlist,,
movie,Erin Brockovich,462,Erin Brockovich,2000,yes,max,my_list,,
show,Euphoria,85552,Euphoria,2019,yes,max,continue_watching,,
movie,Fantastic Beasts and Where To Find Them,259316,Fantastic Beasts and Where to Find Them,2016,yes,max,my_list,,
movie,Fantastic Mr. Fox,10315,Fantastic Mr. Fox,2009,yes,prime,watchlist,,
movie,Frank Miller's Sin City,187,Sin City,2005,no,max,my_list,,
movie,Furiosa: A Mad Max Saga,786892,Furiosa: A Mad Max Saga,2024,yes,max,my_list,,
show,Gentleman Jack,86163,Gentleman Jack,2019,yes,max,my_list,,
movie,Ghosting,817247,Ghosting,2019,yes,apple,continue_watching,,
movie,Gone With the Wind,770,Gone with the Wind,1939,yes,max,my_list,,
show,Hacks,124101,Hacks,2021,yes,max,continue_watching,,
movie,Harry Potter and the Deathly Hallows Part 1,12444,Harry Potter and the Deathly Hallows: Part 1,2010,yes,max,my_list,,
movie,Harry Potter and the Deathly Hallows Part 2,12445,Harry Potter and the Deathly Hallows: Part 2,2011,yes,max,my_list,,
movie,Harry Potter and the Goblet of Fire,674,Harry Potter and the Goblet of Fire,2005,yes,max,my_list,,
movie,Harry Potter and the Half-Blood Prince,767,Harry Potter and the Half-Blood Prince,2009,yes,max,my_list,,
movie,Harry Potter and the Order of the Phoenix,675,Harry Potter and the Order of the Phoenix,2007,yes,max,my_list,,
movie,Harry Potter and the Philosopher's Stone,671,Harry Potter and the Philosopher's Stone,2001,yes,max,my_list,,
movie,Harry Potter and the Prisoner of Azkaban,673,Harry Potter and the Prisoner of Azkaban,2004,yes,max,my_list,,
show,Historial delictivo,204490,Criminal Record,2024,no,apple,continue_watching,,
movie,How to Lose a Guy in 10 Days,9919,How to Lose a Guy in 10 Days,2003,yes,max,my_list,,
show,How to With John Wilson,110971,How To with John Wilson,2020,yes,max,my_list,,
show,I May Destroy You,102619,I May Destroy You,2020,yes,max,my_list,,
movie,Inception,27205,Inception,2010,yes,max,my_list,,
movie,Interstellar,157336,Interstellar,2014,yes,max,my_list,,
movie,Jerry Maguire,9390,Jerry Maguire,1996,yes,max,my_list,,
movie,Joker: Folie à Deux,889737,Joker: Folie à Deux,2024,yes,max,my_list,,
show,Las gotas de Dios,306121,The Drops of God,2026,no,apple,continue_watching,,
movie,Los héroes de Telemark,16850,The Heroes of Telemark,1965,no,prime,watchlist,,
show,Love & Death,124800,Love & Death,2023,yes,max,my_list,,
movie,Mar Adentro,1913,The Sea Inside,2004,no,max,my_list,,
show,Mare of Easttown,115004,Mare of Easttown,2021,yes,max,my_list,,
show,Margo tiene problemas de dinero,245318,Margo's Got Money Troubles,2026,no,apple,continue_watching,,
movie,Mars Attacks!,75,Mars Attacks!,1996,yes,max,my_list,,
show,Mildred Pierce,39468,Mildred Pierce,2011,yes,max,my_list,,
movie,Million Dollar Baby,70,Million Dollar Baby,2004,yes,max,my_list,,
movie,Minority Report,180,Minority Report,2002,yes,max,my_list,,
show,Mr. Mercedes,70485,Mr. Mercedes,2017,yes,prime,watchlist,,
show,Naked and Afraid,58832,Naked and Afraid,2013,yes,max,continue_watching,,
show,Nine Perfect Strangers,88989,Nine Perfect Strangers,2021,yes,prime,watchlist,,
movie,No Country for Old Men,6977,No Country for Old Men,2007,yes,max,my_list,,
movie,Nunca es demasiado tarde,121479,Nunca es demasiado tarde,1956,yes,prime,watchlist,,
movie,Ocean's Eight,402900,Ocean's Eight,2018,yes,max,my_list,,
movie,Ocean's Eleven,161,Ocean's Eleven,2001,yes,max,my_list,,
movie,Ocean's Twelve,163,Ocean's Twelve,2004,yes,max,my_list,,
show,Olive Kitteridge,61585,Olive Kitteridge,2014,yes,max,my_list,,
movie,One Battle After Another,1054867,One Battle After Another,2025,yes,max,my_list,,
movie,Orgazmo,8675,Orgazmo,1998,yes,prime,watchlist,,
movie,Outcome,1049471,Outcome,2026,yes,apple,continue_watching,,
show,Palm Royale,157367,Palm Royale,2024,yes,apple,continue_watching,,
show,Para toda la humanidad,87917,For All Mankind,2019,no,apple,continue_watching,,
show,Patria,85964,Patria,2020,yes,max,my_list,,
movie,Priscilla,1020006,Priscilla,2023,yes,max,my_list,,
movie,Pulp Fiction,680,Pulp Fiction,1994,yes,max,my_list,,
show,Ravalear,282696,Ravalear: Not for Sale,2026,no,max,continue_watching,,
movie,Respect,592863,Respect,2021,yes,prime,watchlist,,
movie,Rocketman,504608,Rocketman,2019,yes,max,my_list,,
show,Rooster,254953,Rooster,2026,yes,max,continue_watching,,
movie,Scary Movie,4247,Scary Movie,2000,yes,max,my_list,,
show,Scenes From a Marriage,112077,Scenes from a Marriage,2021,yes,max,my_list,,
movie,Se7en,807,Se7en,1995,yes,max,my_list,,
movie,Sex and the City,4564,Sex and the City,2008,yes,max,my_list,,
show,Sharp Objects,70453,Sharp Objects,2018,yes,max,my_list,,
movie,Sinners,1233413,Sinners,2025,yes,max,my_list,,
movie,Spider-Man: Across the Spider-Verse,569094,Spider-Man: Across the Spider-Verse,2023,yes,max,my_list,,
movie,Spider-Man: Into the Spider-Verse,324857,Spider-Man: Into the Spider-Verse,2018,yes,max,my_list,,
show,Succession,76331,Succession,2018,yes,max,my_list,,
movie,Suspiria,11906,Suspiria,1977,yes,prime,watchlist,,
show,Taken Together: Who Killed Lyric and Elizabeth?,259739,Taken Together: Who Killed Lyric and Elizabeth?,2024,yes,max,my_list,,
show,Task,228305,Task,2025,yes,max,my_list,,
movie,Temple Grandin,33602,Temple Grandin,2010,yes,max,my_list,,
movie,The Batman,414906,The Batman,2022,yes,max,my_list,,
movie,The Bone Collector,9481,The Bone Collector,1999,yes,max,my_list,,
show,The Chair Company,271267,The Chair Company,2025,yes,max,my_list,,
movie,The Dark Knight,155,The Dark Knight,2008,yes,max,my_list,,
movie,The Dark Knight Rises,49026,The Dark Knight Rises,2012,yes,max,my_list,,
movie,The Florida Project,394117,The Florida Project,2017,yes,max;prime,my_list;watchlist,,
show,The Gilded Age,81723,The Gilded Age,2022,yes,max,my_list,,
movie,The Goonies,9340,The Goonies,1985,yes,max,my_list,,
movie,The Great Gatsby,64682,The Great Gatsby,2013,yes,max,my_list,,
show,The Handmaid's Tale,69478,The Handmaid's Tale,2017,yes,max,my_list,,
movie,The Hangover,18785,The Hangover,2009,yes,max,my_list,,
movie,The Hangover Part II,45243,The Hangover Part II,2011,yes,max,my_list,,
movie,The Hustle,449562,The Hustle,2019,yes,prime,watchlist,,
movie,The Intern,257211,The Intern,2015,yes,max,my_list,,
movie,The Kids Are Alright,800823,The Kids Are Alright: Destination Asturias,2021,no,max,my_list,,
